WKT;NOMENCLATU;NUM_MANZ;DEPARTAMEN;PEDANIA;PED_NOMENC
"MULTIPOLYGON Z (((-63.2791419307668 -32.4098959383723 0,-63.2791313991697 -32.4101232390467 0,-63.2791263079087 -32.4102330775677 0,-63.2791213037283 -32.4103369920956 0,-63.2791106904036 -32.4105623213869 0,-63.2791004090237 -32.4107876407769 0,-63.2792196473581 -32.4107933927642 0,-63.2793522120772 -32.4107998754047 0,-63.2794967635512 -32.4108068466073 0,-63.279631663922 -32.410813541322 0,-63.2797648226989 -32.4108183139983 0,-63.2798976378314 -32.4108228148048 0,-63.2800299549865 -32.4108273303137 0,-63.2801622721537 -32.4108318456837 0,-63.2801735799934 -32.4106092529514 0,-63.2801793008685 -32.4104966381965 0,-63.2801855788493 -32.4103833805795 0,-63.2801904705258 -32.410268754424 0,-63.2801950948263 -32.4101637232604 0,-63.280205041437 -32.4099384136696 0,-63.2800724545943 -32.4099313686714 0,-63.2799425236887 -32.4099242443754 0,-63.2798062966622 -32.409917589563 0,-63.2796761621044 -32.4099135727471 0,-63.2795436803029 -32.4099090618053 0,-63.279407214637 -32.4099046694445 0,-63.2792770684499 -32.4099003705926 0,-63.2791419307668 -32.4098959383723 0)))";"1604220103101";"101";GRAL. SAN MARTIN;VILLA MARIA;"1604"
"MULTIPOLYGON Z (((-63.2366185670164 -32.3961633600146 0,-63.236507602218 -32.3961525780981 0,-63.2364823526543 -32.3961500892786 0,-63.2364471732849 -32.3961608636547 0,-63.2362892363254 -32.3962240011023 0,-63.2362518155444 -32.3962669047603 0,-63.2362359530655 -32.3962849926271 0,-63.2361743233193 -32.3963552532039 0,-63.2360551030895 -32.3964907402566 0,-63.2359451562061 -32.3966160650571 0,-63.235885215113 -32.3966843727059 0,-63.2358355404334 -32.3967411073413 0,-63.2358259367574 -32.396752115487 0,-63.2358156702512 -32.3967636884707 0,-63.2357706308909 -32.3968147784196 0,-63.2357312218668 -32.3968596582353 0,-63.2357077097316 -32.3968867549489 0,-63.2356441249103 -32.3969590144867 0,-63.2356080277202 -32.3970002246794 0,-63.2355639816416 -32.3970501854989 0,-63.2355451055722 -32.3970719193287 0,-63.2355697254625 -32.3970876540833 0,-63.2355966740536 -32.3971047934773 0,-63.2356356004649 -32.3971298008567 0,-63.23572077232 -32.3971843106811 0,-63.2358042813396 -32.3972379781601 0,-63.2358867918149 -32.3972908020536 0,-63.2359709660602 -32.3973447499751 0,-63.2360561383182 -32.3973992595693 0,-63.2361020518402 -32.3974287625066 0,-63.2361469667448 -32.3974574218999 0,-63.2361868913728 -32.3974829908351 0,-63.2362324720966 -32.3975122125486 0,-63.2362587559066 -32.3975290712458 0,-63.2363149830698 -32.3975650361572 0,-63.2363499174762 -32.3975875146032 0,-63.2363798615814 -32.3976069026053 0,-63.2363991578235 -32.397618983788 0,-63.2364180352694 -32.3975978134285 0,-63.2364312830582 -32.3975831350118 0,-63.2364700321552 -32.3975399470167 0,-63.2364985147129 -32.3975083320477 0,-63.2365160671896 -32.3974885731563 0,-63.2365614400789 -32.3974380459194 0,-63.2366253595881 -32.3973669124947 0,-63.2366694074379 -32.3973177967029 0,-63.2366770240616 -32.3973090466203 0,-63.2366869598406 -32.3972980377874 0,-63.2366998761295 -32.3972836417638 0,-63.2367432625436 -32.3972356543853 0,-63.2367979081075 -32.3971746830681 0,-63.2368316893528 -32.3971371402807 0,-63.2368571896868 -32.3971083488266 0,-63.23686878101 -32.3970953642723 0,-63.2368770611552 -32.3970863311312 0,-63.2369164726515 -32.397042578153 0,-63.2369734363886 -32.3969790662066 0,-63.2370340426186 -32.3969113203932 0,-63.2370896820231 -32.3968495016802 0,-63.2371310803009 -32.3968034905015 0,-63.2371516137193 -32.3967806261184 0,-63.2371734720293 -32.3967563502422 0,-63.2371940054262 -32.3967334858521 0,-63.2372125510934 -32.3967125977954 0,-63.2372397082337 -32.3966823941476 0,-63.2372648783758 -32.3966544486293 0,-63.2373046201695 -32.3966101313074 0,-63.2373109117753 -32.3966027926775 0,-63.2372982695994 -32.396594926096 0,-63.2372250744918 -32.3965480033766 0,-63.2371588677718 -32.3965061398546 0,-63.2371392387852 -32.3964937776124 0,-63.2370524045365 -32.3964387082686 0,-63.2369669011811 -32.3963844817604 0,-63.2368830615944 -32.3963313792643 0,-63.2367982242011 -32.3962777149875 0,-63.2367250535405 -32.3962314129303 0,-63.2367107253416 -32.3962223648545 0,-63.2366737963034 -32.3961990448495 0,-63.2366258866819 -32.3961681368637 0,-63.2366185670164 -32.3961633600146 0)))";"1604220201089";"089";GRAL. SAN MARTIN;VILLA MARIA;"1604"
"MULTIPOLYGON Z (((-63.2488330743115 -32.4101537028481 0,-63.2487509465709 -32.4102474221576 0,-63.2486873644355 -32.4103202517123 0,-63.2486115288039 -32.4104069135448 0,-63.2485346995282 -32.4104947044854 0,-63.2485307255295 -32.410499221102 0,-63.2484677904472 -32.4105658496969 0,-63.2483364740736 -32.4107133829883 0,-63.2482717318558 -32.4107860390853 0,-63.2481952302722 -32.4108724201766 0,-63.2481074646507 -32.4109700953453 0,-63.2481161172228 -32.4109757142824 0,-63.2481327564314 -32.4109863898685 0,-63.2483580551603 -32.4111321995361 0,-63.2483843459431 -32.411149337435 0,-63.2484435838696 -32.4111881088714 0,-63.248484849121 -32.4112145165806 0,-63.2485766974956 -32.4112732313491 0,-63.2486023216441 -32.411289525121 0,-63.248701493244 -32.4113535795238 0,-63.248729780445 -32.4113718406041 0,-63.248814641343 -32.4114263420092 0,-63.2489008342367 -32.4114819679199 0,-63.2489394375124 -32.4115066899444 0,-63.2489946809945 -32.4115423692241 0,-63.2490648959811 -32.4115861910492 0,-63.2491685548753 -32.4114696032911 0,-63.2491897506178 -32.4114458902935 0,-63.2492364467228 -32.4113933833983 0,-63.2492920850425 -32.4113309958431 0,-63.2493404381508 -32.4112770766374 0,-63.2493917709171 -32.4112194881336 0,-63.24939839397 -32.4112118664626 0,-63.2494272069117 -32.4111796843895 0,-63.2495480880095 -32.4110444635136 0,-63.2496043879707 -32.4109812291122 0,-63.2496600257854 -32.4109188413929 0,-63.2497179819225 -32.4108539128667 0,-63.2497467938614 -32.4108214489227 0,-63.2497934893233 -32.410768941819 0,-63.249687995768 -32.4107012374141 0,-63.2496287599603 -32.4106633119521 0,-63.249573517544 -32.410627914741 0,-63.249516611861 -32.4105916754027 0,-63.2494094554109 -32.410523128658 0,-63.2493122820528 -32.4104607616415 0,-63.2492447261659 -32.4104172164835 0,-63.249151214931 -32.4103576600844 0,-63.2490537089577 -32.4102950117247 0,-63.2489808296798 -32.4102483771586 0,-63.248956536088 -32.4102326444291 0,-63.2488330743115 -32.4101537028481 0)))";"1604220101023";"023";GRAL. SAN MARTIN;VILLA MARIA;"1604"
"MULTIPOLYGON Z (((-63.1704028992447 -32.4324855260163 0,-63.1702155375897 -32.4325856961402 0,-63.1700281755196 -32.4326858659853 0,-63.1698408130344 -32.4327860355514 0,-63.1696534501343 -32.4328862048387 0,-63.1694660868189 -32.4329863738471 0,-63.1692787230886 -32.4330865425767 0,-63.1690913589431 -32.4331867110273 0,-63.1689039943826 -32.4332868791991 0,-63.1683959581902 -32.4335584811726 0,-63.1678904375619 -32.4338287346423 0,-63.1687066043246 -32.4348942612327 0,-63.1692332368782 -32.4355815888374 0,-63.1695512389728 -32.4359966999691 0,-63.1704001452514 -32.4370957425354 0,-63.1718418780342 -32.4389671824622 0,-63.17273961634 -32.4384855890337 0,-63.1736394695527 -32.438002813991 0,-63.1742590011132 -32.4376726850845 0,-63.1741183590358 -32.4374835085178 0,-63.173977717547 -32.4372943317863 0,-63.1738370766467 -32.4371051548901 0,-63.173696436335 -32.4369159778292 0,-63.1735557966119 -32.4367268006036 0,-63.1734151574772 -32.4365376232132 0,-63.1732745189311 -32.4363484456581 0,-63.1731338809735 -32.4361592679383 0,-63.1729932436044 -32.4359700900537 0,-63.172853287323 -32.4357818273825 0,-63.1720284757769 -32.434672310069 0,-63.1717172132084 -32.4342535983504 0,-63.1712018131914 -32.4335602697754 0,-63.1706864210777 -32.4328669389885 0,-63.1704028992447 -32.4324855260163 0)))";"1604220303049";"049";GRAL. SAN MARTIN;VILLA MARIA;"1604"
"MULTIPOLYGON Z (((-63.2381571613638 -32.3917705895081 0,-63.2379442439978 -32.3916354459862 0,-63.2377130300109 -32.3914887828207 0,-63.2374573808275 -32.3917769820775 0,-63.2373298873878 -32.3919209399851 0,-63.2370742365102 -32.3922094202547 0,-63.2373077806494 -32.392357770984 0,-63.2375206980387 -32.3924926337637 0,-63.2377332839287 -32.3926274968043 0,-63.2378397694786 -32.3926952235045 0,-63.2379462033201 -32.3927626406517 0,-63.2380734963051 -32.3926183129463 0,-63.2381371826236 -32.3925460517585 0,-63.2382008558297 -32.3924738787292 0,-63.2383280150426 -32.3923293569879 0,-63.2385826651251 -32.3920405942857 0,-63.2383700786227 -32.3919054508662 0,-63.2381571613638 -32.3917705895081 0)))";"1604220202004";"004";GRAL. SAN MARTIN;VILLA MARIA;"1604"
"MULTIPOLYGON Z (((-63.2191612743044 -32.4141215105529 0,-63.2193876565145 -32.4142643009633 0,-63.2194644233325 -32.4143127213809 0,-63.2195497317285 -32.4143665292543 0,-63.2197715340314 -32.4145064294509 0,-63.2198403069256 -32.4144318505951 0,-63.2199090797068 -32.4143572717014 0,-63.219977852375 -32.4142826927698 0,-63.2200466137218 -32.414208125955 0,-63.2201153973724 -32.4141335347929 0,-63.2201841697017 -32.4140589557475 0,-63.2199623899193 -32.4139190311105 0,-63.219877090185 -32.4138652138368 0,-63.2197917905519 -32.4138113965045 0,-63.2195700119788 -32.4136714711661 0,-63.2195018893145 -32.4137464778237 0,-63.2194337628368 -32.4138214885186 0,-63.2193656436481 -32.4138964910271 0,-63.2192975169454 -32.4139715016475 0,-63.2192293975316 -32.4140465040815 0,-63.2191612743044 -32.4141215105529 0)))";"1604220302436";"436";GRAL. SAN MARTIN;VILLA MARIA;"1604"
"MULTIPOLYGON Z (((-63.235522337333 -32.3972576676736 0,-63.2354524713939 -32.3972135557017 0,-63.2354331753635 -32.3972014743722 0,-63.2354159533907 -32.3972206688984 0,-63.235319906009 -32.3973270866236 0,-63.2352838041409 -32.3973666059342 0,-63.2352642643721 -32.3973886227596 0,-63.235208954078 -32.3974498764529 0,-63.2351804696263 -32.3974809275369 0,-63.2351447005159 -32.3975207279855 0,-63.2350844216937 -32.3975873450808 0,-63.2350748171071 -32.3975980713706 0,-63.2350036086302 -32.3976768261836 0,-63.2349834051569 -32.3976991260017 0,-63.2349370369948 -32.3977504999244 0,-63.2349006055603 -32.3977911469353 0,-63.2348794085038 -32.3978145757856 0,-63.2348194599839 -32.3978806285379 0,-63.2347061882052 -32.398005958434 0,-63.234796351351 -32.3980638411725 0,-63.2348688814073 -32.3981104847311 0,-63.2349597090636 -32.398168366113 0,-63.2349919810474 -32.3981888773012 0,-63.235044548613 -32.398222595204 0,-63.2350768213653 -32.3982433881681 0,-63.2351570028916 -32.3982945260772 0,-63.2352338578714 -32.3983436975478 0,-63.2353176990982 -32.3983970829178 0,-63.2354035369947 -32.3984518734988 0,-63.2354770648623 -32.3984987966384 0,-63.2355662303342 -32.398555835285 0,-63.235575834963 -32.3985451089593 0,-63.2356281621525 -32.3984861150858 0,-63.2356533310939 -32.3984573244988 0,-63.2356788321719 -32.3984285332856 0,-63.2357344712307 -32.3983658697832 0,-63.235740432397 -32.3983590954497 0,-63.2358003761629 -32.3982913514782 0,-63.2358536958526 -32.3982309466562 0,-63.2359941162255 -32.398072312585 0,-63.2360133245446 -32.3980505780689 0,-63.2360626706063 -32.3979949711864 0,-63.2360871786391 -32.3979675907459 0,-63.2361858690545 -32.3978558133069 0,-63.2362507797315 -32.3977824238232 0,-63.2362888646994 -32.3977392371295 0,-63.23620435995 -32.3976861354427 0,-63.2361251784935 -32.3976364053184 0,-63.23606728988 -32.3976001616351 0,-63.236042337615 -32.3975844276019 0,-63.2360170532093 -32.3975686941857 0,-63.2359781279704 -32.3975442505234 0,-63.2359565023583 -32.3975304828405 0,-63.235924231126 -32.397510253695 0,-63.2358626824407 -32.397471480573 0,-63.2357671997046 -32.3974116359471 0,-63.2356833605938 -32.3973588144607 0,-63.2355975257632 -32.3973048694509 0,-63.235522337333 -32.3972576676736 0)))";"1604220201090";"090";GRAL. SAN MARTIN;VILLA MARIA;"1604"
"MULTIPOLYGON Z (((-63.2425152641059 -32.4046545974241 0,-63.2424980429868 -32.4046740746924 0,-63.2424404200127 -32.4047398447212 0,-63.2424208804118 -32.4047618626297 0,-63.2423559705435 -32.4048355370077 0,-63.2422907291466 -32.404909493788 0,-63.2422221756639 -32.4049871202866 0,-63.2422042923238 -32.4050074441838 0,-63.2421801164337 -32.4050348251452 0,-63.242155278433 -32.4050630527711 0,-63.2421337516516 -32.4050873288444 0,-63.2420801014886 -32.40514830049 0,-63.242034398689 -32.4051999574837 0,-63.2420138653669 -32.4052231044324 0,-63.2420059171754 -32.4052321372626 0,-63.241947298462 -32.4052984725722 0,-63.2418913288177 -32.405361702981 0,-63.2418052210581 -32.40545880707 0,-63.2417876682075 -32.405478566675 0,-63.2418126236422 -32.405494299536 0,-63.2418542165537 -32.4055207088247 0,-63.2419294158833 -32.4055681885118 0,-63.2420145979456 -32.4056221303595 0,-63.2420728284934 -32.4056592159839 0,-63.2421017769434 -32.4056774773074 0,-63.2421912850634 -32.4057342287127 0,-63.2422764674369 -32.4057881703805 0,-63.24228744742 -32.4057949124462 0,-63.242361982091 -32.4058421113509 0,-63.2423975855453 -32.405864586791 0,-63.2424581454291 -32.4059030767495 0,-63.2424857638085 -32.4059207769445 0,-63.2425419971392 -32.4059561753985 0,-63.2426195269719 -32.406005340977 0,-63.2427572773032 -32.4060901789842 0,-63.2428046312278 -32.4060348551684 0,-63.2428649061556 -32.4059668254828 0,-63.2429218697635 -32.4059027473359 0,-63.2429781711972 -32.4058395158363 0,-63.2430503695781 -32.4057585003201 0,-63.2431142867756 -32.4056862365047 0,-63.243131508708 -32.4056670409527 0,-63.2431917846582 -32.405599574704 0,-63.2432308653445 -32.4055561022458 0,-63.2432802117717 -32.4055007744027 0,-63.2432878284368 -32.4054920239317 0,-63.2433431366078 -32.4054302031787 0,-63.2433914886336 -32.4053757226083 0,-63.2433981117694 -32.4053681012451 0,-63.2434371922576 -32.4053246287222 0,-63.2434679917239 -32.405289907953 0,-63.2434842200004 -32.4052718414674 0,-63.24346225923 -32.4052580757453 0,-63.2433697559058 -32.4051993584304 0,-63.2433361493169 -32.4051782884017 0,-63.243290562453 -32.4051490693222 0,-63.2432642751287 -32.4051322121286 0,-63.2432526292889 -32.4051249078346 0,-63.2431790920352 -32.4050779893253 0,-63.2430942419752 -32.4050240476203 0,-63.2430093912609 -32.4049698240597 0,-63.2429182187365 -32.4049116674409 0,-63.2429082368518 -32.4049054871032 0,-63.2428330360565 -32.4048574443998 0,-63.2427505154085 -32.4048049069668 0,-63.2427132476369 -32.404781025832 0,-63.2426646670698 -32.4047501214945 0,-63.2426320573369 -32.4047290493562 0,-63.2425392221592 -32.4046700502637 0,-63.2425152641059 -32.4046545974241 0)))";"1604220201035";"035";GRAL. SAN MARTIN;VILLA MARIA;"1604"
"MULTIPOLYGON Z (((-63.250462019972 -32.4216444697377 0,-63.2504090309647 -32.4217057252657 0,-63.2503408040978 -32.4217833553422 0,-63.2503219272539 -32.4218053731049 0,-63.2502990759979 -32.4218319075306 0,-63.2502755610308 -32.4218587250689 0,-63.2502093234746 -32.4219349421306 0,-63.2501497088012 -32.4220032556595 0,-63.2500871139974 -32.4220752384509 0,-63.2500159080858 -32.4221571012341 0,-63.249931563864 -32.4222611180121 0,-63.2498247386351 -32.4224072555118 0,-63.2500395042407 -32.4224005280001 0,-63.2501852727884 -32.4223695226285 0,-63.250295180358 -32.4223461968851 0,-63.2504054193316 -32.4223225885891 0,-63.2505007168129 -32.4223023914826 0,-63.2506092960394 -32.4222793499046 0,-63.2508151644269 -32.4222355433294 0,-63.250939017134 -32.4222090894834 0,-63.2511548469045 -32.4221632899259 0,-63.2512099657825 -32.4221513445163 0,-63.2512591090315 -32.4221411017885 0,-63.2511975378297 -32.4221026182181 0,-63.2511010215063 -32.422042505811 0,-63.2510763929167 -32.4220270559957 0,-63.2510174852397 -32.421990539615 0,-63.2509921914214 -32.4219748093103 0,-63.2509116493232 -32.4219242460694 0,-63.2508893511449 -32.4219104823649 0,-63.250862726079 -32.4218939092903 0,-63.2508061481386 -32.4218587971617 0,-63.2507575572027 -32.4218284596798 0,-63.2507276043507 -32.4218099206124 0,-63.2507156227456 -32.4218023359054 0,-63.2506300895993 -32.4217489644323 0,-63.2505442243161 -32.4216955935608 0,-63.250462019972 -32.4216444697377 0)))";"1604220102048";"048";GRAL. SAN MARTIN;VILLA MARIA;"1604"
"MULTIPOLYGON Z (((-63.2227857859606 -32.4285170929057 0,-63.2226932036936 -32.4285657258712 0,-63.2226029444017 -32.4286132274716 0,-63.2225123527513 -32.4286607295943 0,-63.2224220932694 -32.4287082310652 0,-63.2225337787807 -32.4288616137853 0,-63.222645796936 -32.4290149958137 0,-63.2227360566042 -32.4289674941839 0,-63.222826648442 -32.4289199919018 0,-63.2229175717557 -32.4288722071699 0,-63.2229369612965 -32.4286501159673 0,-63.2229560177899 -32.4284277435455 0,-63.2227857859606 -32.4285170929057 0)))";"1604220104026";"026";GRAL. SAN MARTIN;VILLA MARIA;"1604"
